8+43   _51
403*941_379223
506+39 _545
93+163 _256
28+48  _76
596+39 _635
69*531 _36639 
817*99 _80883 
807*63 _50841 
64*34  _2176  
393+26 _419
6+589  _595
655+39 _694
822+19 _841
4*283  _1132  
978+2  _980
865+60 _925
29+225 _254
62+66  _128
25+347 _372
68*22  _1496  
49*76  _3724  
85+908 _993
96*62  _5952  
851+60 _911
96*714 _68544 
420+0  _420
992*894_886848
85+948 _1033
780+7  _787
158*206_32548 
795*350_278250
16*875 _14000 
1*731  _731   
95+94  _189
34*35  _1190  
64*14  _896   
247+751_998
27*784 _21168 
1*704  _704   
249*9  _2241  
268*33 _8844  
167*9  _1503  
582*9  _5238  
330+0  _330
22*2   _44    
750+4  _754
68*81  _5508  
8*40   _320   
9+521  _530
296+521_817
531+6  _537
692+191_883
13*63  _819   
20*888 _17760 
805+802_1607
492+11 _503
79*96  _7584  
54+446 _500
4*437  _1748  
18+651 _669
251+64 _315
295+938_1233
649+882_1531
863+959_1822
907+5  _912
89+620 _709
2+142  _144
70+54  _124
62*429 _26598 
13+820 _833
782+9  _791
66*920 _60720 
9*14   _126   
367*17 _6239  
0+539  _539
284*907_257588
271*50 _13550 
5+557  _562
47+701 _748
744+8  _752
57*48  _2736  
3*795  _2385  
96+71  _167
994*5  _4970  
508*7  _3556  
23*85  _1955  
9+277  _286
2*603  _1206  
23+64  _87
470+325_795
560*98 _54880 
0*656  _0     
42+198 _240
63+297 _360
4*888  _3552  
3+928  _931
608+9  _617
426*98 _41748 
256+24 _280
182*7  _1274  
29*296 _8584  
909*6  _5454  
282+2  _284
48*517 _24816 
576*715_411840
26*496 _12896 
48*45  _2160  
686+777_1463
2*738  _1476  
292+1  _293
760*5  _3800  
831*8  _6648  
272+90 _362
29+35  _64
573+715_1288
455+4  _459
125+564_689
769+4  _773
915+81 _996
6+516  _522
43+398 _441
5*67   _335   
21*95  _1995  
968*55 _53240 
359*29 _10411 
80+57  _137
50+420 _470
667+43 _710
971+84 _1055
98*82  _8036  
9+362  _371
4*879  _3516  
849*2  _1698  
554+2  _556
0+921  _921
189+9  _198
87*0   _0     
235*35 _8225  
166*77 _12782 
425*98 _41650 
86*98  _8428  
365*627_228855
842+84 _926
86+83  _169
82+93  _175
294*31 _9114  
215+548_763
2+700  _702
30+44  _74
8+303  _311
11+98  _109
503+95 _598
784*3  _2352  
4+917  _921
24+610 _634
103+31 _134
901+83 _984
16*36  _576   
848*111_94128 
394+24 _418
6*821  _4926  
275+30 _305
45+879 _924
943*0  _0     
130+7  _137
41+619 _660
299*341_101959
385*646_248710
739*5  _3695  
29+693 _722
28+731 _759
2*951  _1902  
657*66 _43362 
218+8  _226
177+36 _213
42+991 _1033
561*48 _26928 
94+89  _183
88+957 _1045
17+49  _66
128+67 _195
389*18 _7002  
910*32 _29120 
50*7   _350   
78*210 _16380 
9*947  _8523  
20*90  _1800  
526+28 _554
13*11  _143   
712+192_904
583*774_451242
937+7  _944
307*85 _26095 
17+30  _47
901+887_1788
181*2  _362   
235+402_637
913+620_1533
15*162 _2430  
13+980 _993
45*746 _33570 
30+543 _573
8*493  _3944  
67*850 _56950 
1*490  _490   
0+847  _847
750+2  _752
54*73  _3942  
16*886 _14176 
12*56  _672   
19+47  _66
661+39 _700
12*960 _11520 
29+223 _252
900*7  _6300  
815+8  _823
606*539_326634
802+0  _802
77+58  _135
630*5  _3150  
530*3  _1590  
75*450 _33750 
708*91 _64428 
63*71  _4473  
85+75  _160
996*2  _1992  
308*2  _616   
475*961_456475
679*79 _53641 
434*34 _14756 
488*976_476288
88+590 _678
4+406  _410
2*274  _548   
92*21  _1932  
338+683_1021
293+1  _294
17+6   _23
63*659 _41517 
97*626 _60722 
221*592_130832
4+106  _110
694+7  _701
457+52 _509
281+861_1142
43+457 _500
23*25  _575   
33+192 _225
261*413_107793
65+77  _142
70*24  _1680  
589+2  _591
81*84  _6804  
279+615_894
17*173 _2941  
8*305  _2440  
66*933 _61578 
290*36 _10440 
18+18  _36
912+1  _913
53+60  _113
535+60 _595
8+659  _667
32+134 _166
177+74 _251
165*34 _5610  
57*53  _3021  
2*350  _700   
96*938 _90048 
580+3  _583
15*975 _14625 
255*8  _2040  
39*37  _1443  
954*106_101124
45*330 _14850 
89+531 _620
99+45  _144
396*68 _26928 
134*9  _1206  
5*96   _480   
1+173  _174
278+6  _284
46*61  _2806  
782+751_1533
97*7   _679   
954*6  _5724  
68+59  _127
94*208 _19552 
744*2  _1488  
158+49 _207
362*436_157832
81*96  _7776  
632+94 _726
981*3  _2943  
8+469  _477
335*1  _335   
431*688_296528
609*43 _26187 
866*3  _2598  
39*252 _9828  
750*55 _41250 
9+861  _870
923*45 _41535 
63+19  _82
127+1  _128
9*778  _7002  
385*1  _385   
564+70 _634
642*53 _34026 
968*778_753104
974+45 _1019
88*602 _52976 
35+62  _97
206+48 _254
77*82  _6314  
296*650_192400
133*2  _266   
551*519_285969
707*5  _3535  
11*340 _3740  
99*941 _93159 
232*56 _12992 
15*88  _1320  
539*99 _53361 
32*0   _0     
4*860  _3440  
312+701_1013
91*48  _4368  
605+23 _628
1*421  _421   
9+185  _194
80*543 _43440 
29*265 _7685  
673*58 _39034 
253+258_511
954+5  _959
533+607_1140
603*55 _33165 
46+67  _113
915+863_1778
8*443  _3544  
13+81  _94
64*267 _17088 
45*483 _21735 
496+7  _503
393+466_859
27*765 _20655 
360*91 _32760 
1+423  _424
86+400 _486
89*57  _5073  
563+751_1314
41+85  _126
688*57 _39216 
56*523 _29288 
9*589  _5301  
250+0  _250
605+8  _613
450*949_427050
65+358 _423
462*7  _3234  
198*368_72864 
33+40  _73
4+489  _493
124*41 _5084  
473+179_652
437*274_119738
117*93 _10881 
82*57  _4674  
44*73  _3212  
810+36 _846
28+54  _82
0+788  _788
27*24  _648   
87*9   _783   
82+140 _222
179+64 _243
155+2  _157
41*30  _1230  
83+11  _94
75*422 _31650 
33+159 _192
949*1  _949   
243+1  _244
96+52  _148
763*593_452459
491*951_466941
2+702  _704
58+896 _954
98*293 _28714 
62*10  _620   
256*56 _14336 
947+0  _947
56*22  _1232  
57*96  _5472  
66+320 _386
72*604 _43488 
999+62 _1061
97+24  _121
6+11   _17
718+13 _731
21*476 _9996  
751*890_668390
7*431  _3017  
1+636  _637
978+7  _985
6*754  _4524  
69*93  _6417  
59*880 _51920 
15+388 _403
866*79 _68414 
62*61  _3782  
537*705_378585
35*526 _18410 
628+446_1074
325+391_716
34*102 _3468  
381+276_657
622+78 _700
3+890  _893
129+0  _129
587+922_1509
94+49  _143
7+934  _941
0*503  _0     
80+19  _99
46+81  _127
453*145_65685 
900*5  _4500  
664+760_1424
2*576  _1152  
33*98  _3234  
78*597 _46566 
73+268 _341
462+82 _544
612*9  _5508  
896+152_1048
16+356 _372
471*177_83367 
42+69  _111
5+925  _930
284+194_478
25*57  _1425  
20*125 _2500  
536*6  _3216  
51*193 _9843  
127+6  _133
45+40  _85
958+276_1234
55+834 _889
892+3  _895
4*494  _1976  
824+886_1710
62+781 _843
81*879 _71199 
414+4  _418
439*1  _439   
295*67 _19765 
9+190  _199
1*969  _969   
586*8  _4688  
890*91 _80990 
63*635 _40005 
10*454 _4540  
675*308_207900
84+659 _743
74*32  _2368  
3*192  _576   
634*7  _4438  
140*16 _2240  
775+19 _794
764+80 _844
994*32 _31808 
481*95 _45695 
744+636_1380
34+106 _140
946*17 _16082 
971+136_1107
790*244_192760
5+996  _1001
762*419_319278
999+33 _1032
1+19   _20
62+423 _485
1*286  _286   
688+334_1022
759*173_131307
704+4  _708
61*303 _18483 
0+363  _363
6+359  _365
6*759  _4554  
49+48  _97
655*8  _5240  
31+151 _182
78*876 _68328 
140+926_1066
56*462 _25872 
34+72  _106
158*802_126716
0*726  _0     
5+821  _826
22+25  _47
281+978_1259
29+30  _59
608*1  _608   
834*72 _60048 
249*94 _23406 
346*87 _30102 
93+192 _285
80+707 _787
95*217 _20615 
64*32  _2048  
913*191_174383
890+758_1648
513+0  _513
873*3  _2619  
62*605 _37510 
426+0  _426
587*75 _44025 
81*383 _31023 
57*783 _44631 
94+592 _686
207*86 _17802 
435*2  _870   
350*658_230300
692*25 _17300 
0*605  _0     
368+9  _377
892+284_1176
52+484 _536
616+23 _639
994+444_1438
332*1  _332   
64+250 _314
98*83  _8134  
659+9  _668
609+66 _675
702+354_1056
848+880_1728
620*56 _34720 
182*46 _8372  
874*3  _2622  
87+36  _123
107+40 _147
3+753  _756
266+735_1001
290*0  _0     
76*205 _15580 
827*8  _6616  
9+503  _512
271+76 _347
0+515  _515
286*0  _0     
64*86  _5504  
206+644_850
481*678_326118
23*142 _3266  
273+1  _274
83+42  _125
33+863 _896
896*4  _3584  
487*788_383756
491*0  _0     
512*44 _22528 
63+171 _234
53*65  _3445  
78*637 _49686 
49*424 _20776 
480*580_278400
913*523_477499
411+9  _420
160*1  _160   
71+57  _128
670+987_1657
636+414_1050
66+273 _339
531*90 _47790 
14+42  _56
592+95 _687
20*78  _1560  
579+5  _584
726+79 _805
18+32  _50
0*729  _0     
289*3  _867   
770*951_732270
664+81 _745
424+786_1210
633+32 _665
0+869  _869
768+8  _776
342*898_307116
87+44  _131
690+72 _762
0+861  _861
640+756_1396
618+28 _646
8+221  _229
70*52  _3640  
2+927  _929
16+686 _702
386*3  _1158  
33*77  _2541  
51*684 _34884 
865*748_647020
982*9  _8838  
5*855  _4275  
4+846  _850
211+84 _295
40*73  _2920  
656+7  _663
840+172_1012
165*833_137445
874*72 _62928 
1+275  _276
827+38 _865
74*30  _2220  
3+121  _124
9+636  _645
462*324_149688
138+714_852
919+4  _923
150+858_1008
35+478 _513
65*954 _62010 
273+96 _369
27+22  _49
9*911  _8199  
82+198 _280
7+379  _386
400+995_1395
708*9  _6372  
9+974  _983
896+19 _915
67*427 _28609 
642+400_1042
881*76 _66956 
811+5  _816
264*5  _1320  
0+268  _268
649*67 _43483 
24+669 _693
268+4  _272
267*804_214668
475+55 _530
65*470 _30550 
380+9  _389
695*489_339855
508*0  _0     
87+519 _606
698*53 _36994 
4*622  _2488  
43+74  _117
579+894_1473
96+2   _98
21+73  _94
109+831_940
12+94  _106
8+281  _289
732+27 _759
249*39 _9711  
76+619 _695
94+275 _369
72+429 _501
627+278_905
27+9   _36
171+56 _227
9+632  _641
66*739 _48774 
477*88 _41976 
542*66 _35772 
42+322 _364
919*0  _0     
924+9  _933
24*86  _2064  
945*4  _3780  
31+56  _87
36*960 _34560 
315*2  _630   
9*796  _7164  
1*144  _144   
551+946_1497
877+197_1074
120+416_536
23*950 _21850 
102+9  _111
124*1  _124   
136*6  _816   
782+537_1319
122+872_994
7*164  _1148  
33+153 _186
618*70 _43260 
227+6  _233
832+5  _837
203+792_995
649*30 _19470 
42*822 _34524 
205*57 _11685 
757*0  _0     
84*45  _3780  
56*794 _44464 
85*188 _15980 
920+7  _927
804*326_262104
611*12 _7332  
222+30 _252
85*56  _4760  
3*734  _2202  
687*0  _0     
225+852_1077
748+622_1370
649*363_235587
243+78 _321
71*891 _63261 
92+434 _526
7+524  _531
206+6  _212
613*65 _39845 
346*7  _2422  
5+434  _439
6+891  _897
219*484_105996
93*739 _68727 
47+0   _47
0+912  _912
23+442 _465
492*508_249936
78*61  _4758  
7*252  _1764  
2+185  _187
303+0  _303
756+23 _779
460*11 _5060  
752+823_1575
1*891  _891   
9+927  _936
721*2  _1442  
556+912_1468
943*743_700649
28+366 _394
793*4  _3172  
998+2  _1000
70*45  _3150  
490*692_339080
63+35  _98
505+90 _595
43*16  _688   
71+35  _106
61+40  _101
800+797_1597
235*688_161680
308+831_1139
20*75  _1500  
194*26 _5044  
729*83 _60507 
21+664 _685
648+934_1582
535+504_1039
9+980  _989
43+290 _333
86+346 _432
315*288_90720 
417+6  _423
739*4  _2956  
836+0  _836
16+184 _200
63+697 _760
572+698_1270
981*4  _3924  
59*566 _33394 
540+41 _581
465+439_904
369+36 _405
920*5  _4600  
8+377  _385
189+403_592
210+9  _219
2*49   _98    
751*9  _6759  
42+6   _48
53+941 _994
600+88 _688
714*7  _4998  
364+9  _373
95+747 _842
952*45 _42840 
31+337 _368
99+331 _430
836+1  _837
161+270_431
448*80 _35840 
156+1  _157
328+1  _329
972*7  _6804  
22*831 _18282 
150*210_31500 
528*57 _30096 
24*35  _840   
778+92 _870
335*378_126630
5*387  _1935  
0*881  _0     
178+677_855
92+424 _516
70*989 _69230 
375*9  _3375  
572*39 _22308 
5*344  _1720  
543+3  _546
7*23   _161   
35+11  _46
773*97 _74981 
35+7   _42
99+11  _110
44*298 _13112 
819+24 _843
445+844_1289
4*461  _1844  
854+4  _858
855+0  _855
60*64  _3840  
234*55 _12870 
9*321  _2889  
426*48 _20448 
277*837_231849
800*965_772000
92+114 _206
704*50 _35200 
49+670 _719
16+781 _797
134*966_129444
427+776_1203
419+769_1188
0+126  _126
69*78  _5382  
95*49  _4655  
43+562 _605
20*327 _6540  
66*89  _5874  
578*80 _46240 
25*229 _5725  
4+641  _645
3+185  _188
153*5  _765   
783+26 _809
40+453 _493
10+462 _472
335+679_1014
2+650  _652
55+60  _115
104+47 _151
63+49  _112
332+79 _411
91*233 _21203 
404*40 _16160 
351*4  _1404  
345+99 _444
794+84 _878
44+900 _944
1+113  _114
24*549 _13176 
121*331_40051 
34*54  _1836  
4+471  _475
458*58 _26564 
9*214  _1926  
91+810 _901
438+747_1185
7*173  _1211  
523+9  _532
46+98  _144
62*581 _36022 
962+74 _1036
680+22 _702
330+40 _370
436+44 _480
73+188 _261
160+2  _162
538+13 _551
632+350_982
722*8  _5776  
646*42 _27132 
17+48  _65
1+360  _361
609*86 _52374 
629+5  _634
3+987  _990
476*91 _43316 
49+98  _147
546+373_919
80*26  _2080  
856+388_1244
86+15  _101
554+4  _558
528+5  _533
59+983 _1042
10+74  _84
14+28  _42
380+555_935
786*51 _40086 
9*572  _5148  
389*89 _34621 
93+490 _583
434+6  _440
952*8  _7616  
384*73 _28032 
379+2  _381
219+380_599
3*232  _696   
64+238 _302
236*7  _1652  
839*229_192131
818*344_281392
625+639_1264
812+338_1150
3*554  _1662  
37+78  _115
50+426 _476
936+761_1697
24+873 _897
332+868_1200
972+5  _977
32*551 _17632 
968*6  _5808  
58*37  _2146  
548*25 _13700 
283+3  _286
96*835 _80160 
3*570  _1710  
40*299 _11960 
372+46 _418
911+2  _913
585+416_1001
856+66 _922
445*84 _37380 
2+620  _622
725*428_310300
34+700 _734
366+599_965
341*226_77066 
11*566 _6226  
790+890_1680
8*632  _5056  
2*154  _308   
418*9  _3762  
5*229  _1145  
393*68 _26724 
236+5  _241
411*32 _13152 
77*831 _63987 
423*8  _3384  
995*7  _6965  
515*4  _2060  
356*6  _2136  
8+430  _438
6+996  _1002
160*0  _0     
470*9  _4230  
4+555  _559
142*54 _7668  
43+0   _43
596*26 _15496 
669*41 _27429 
244+763_1007
42*345 _14490 
587*6  _3522  
10*164 _1640  
882*4  _3528  
56*843 _47208 
632*4  _2528  
47*783 _36801 
0+727  _727
715*756_540540
618+97 _715
291+67 _358
841*70 _58870 
230*12 _2760  
376*47 _17672 
833*86 _71638 
86+50  _136
381+447_828
296+51 _347
753+28 _781
506*96 _48576 
96+656 _752
77*102 _7854  
76+680 _756
59*41  _2419  
74*97  _7178  
72+40  _112
625+81 _706
56*87  _4872  
5*305  _1525  
5*794  _3970  
48*636 _30528 
717*42 _30114 
375+121_496
52+31  _83
33+78  _111
74*23  _1702  
54+323 _377
43*25  _1075  
40*5   _200   
368+166_534
65*69  _4485  
718+58 _776
9+595  _604
92*950 _87400 
990+419_1409
30*471 _14130 
393+83 _476
174+903_1077
636+0  _636
644*533_343252
71*31  _2201  
439*3  _1317  
946+182_1128
92+95  _187
67+16  _83
715*894_639210
87+302 _389
8+485  _493
118+6  _124
52*356 _18512 
28+234 _262
2*889  _1778  
9*138  _1242  
383+389_772
328+652_980
467+5  _472
759*37 _28083 
420*715_300300
430*592_254560
7*783  _5481  
590*176_103840
51*36  _1836  
6*688  _4128  
151*164_24764 
242+7  _249
3*700  _2100  
979+401_1380
976+685_1661
202+45 _247
29+29  _58
641+89 _730
849*841_714009
516+228_744
6*709  _4254  
31+286 _317
939*293_275127
87*87  _7569  
231*2  _462   
509+36 _545
892+1  _893
418*5  _2090  
13+85  _98
57+204 _261
30*821 _24630 
607*17 _10319 
660+48 _708
698+24 _722
3*246  _738   
39+693 _732
55*52  _2860  
8*923  _7384  
5*216  _1080  
22+94  _116
8+309  _317
1*339  _339   
587+515_1102
507*28 _14196 
13*163 _2119  
26*276 _7176  
347+14 _361
63*31  _1953  
89+704 _793
5*155  _775   
57+847 _904
8+641  _649
65+206 _271
5+580  _585
210*725_152250
600+57 _657
94+171 _265
8*366  _2928  
15+926 _941
0+506  _506
5*976  _4880  
45+844 _889
83*924 _76692 
2*730  _1460  
9*49   _441   
890*20 _17800 
2*765  _1530  
181*938_169778
5+748  _753
7+327  _334
1+877  _878
28+903 _931
237+532_769
18+49  _67
85+360 _445
358*1  _358   
705+4  _709
77*16  _1232  
683*533_364039
26+412 _438
69+376 _445
587+2  _589
4*289  _1156  
179+20 _199
18*73  _1314  
9*761  _6849  
266*290_77140 
114+9  _123
87*94  _8178  
277*36 _9972  
382+80 _462
796+507_1303
785+987_1772
416*90 _37440 
9+54   _63
23*48  _1104  
65*328 _21320 
96+138 _234
897*442_396474
103+8  _111
414*607_251298
38+245 _283
3+651  _654
268*40 _10720 
195*188_36660 
673*6  _4038  
76+916 _992
38+40  _78
5*810  _4050  
475+766_1241
52*71  _3692  
943*35 _33005 
360+47 _407
44*51  _2244  
89+361 _450
18+8   _26
735*9  _6615  
703*99 _69597 
3+949  _952
50*63  _3150  
875+393_1268
638+4  _642
88*301 _26488 
7*464  _3248  
866+828_1694
614*418_256652
878*443_388954
445*8  _3560  
78*967 _75426 
29+319 _348
523*741_387543
849*589_500061
276+43 _319
53+47  _100
719+234_953
254*278_70612 
95+760 _855
664+9  _673
7+247  _254
21+16  _37
82+903 _985
180+706_886
789*23 _18147 
602+57 _659
423+379_802
634+65 _699
167+48 _215
272+446_718
766*60 _45960 
0+474  _474
719+0  _719
613*1  _613   
4+594  _598
886*7  _6202  
97+866 _963
0*599  _0     
535+8  _543
815*70 _57050 
576+235_811
64*360 _23040 
805*4  _3220  
16+246 _262
39*4   _156   
928+7  _935
7+396  _403
726+785_1511
5+356  _361
498*4  _1992  
98*679 _66542 
72*458 _32976 
984*3  _2952  
484+989_1473
477+241_718
546+519_1065
50*865 _43250 
609*320_194880
42+93  _135
46+35  _81
987+8  _995
123+988_1111
60*28  _1680  
605*28 _16940 
237+0  _237
431+347_778
30+46  _76
990*2  _1980  
239+83 _322
811+2  _813
56+456 _512
34*68  _2312  
9+685  _694
685*695_476075
992+774_1766
371*315_116865
7+452  _459
60*864 _51840 
80+932 _1012
74+154 _228
412*4  _1648  
98+781 _879
729*698_508842
822+9  _831
974*73 _71102 
72+84  _156
986*40 _39440 
142+886_1028
35*80  _2800  
63+347 _410
30+84  _114
123+33 _156
0+200  _200
48+5   _53
4+153  _157
0*823  _0     
4*661  _2644  
27+70  _97
574+986_1560
810+665_1475
8+730  _738
62*951 _58962 
687+10 _697
402+39 _441
236*13 _3068  
520+60 _580
434*126_54684 
16+25  _41
1+797  _798
1+640  _641
33*96  _3168  
681*50 _34050 
313*760_237880
776+79 _855
241*99 _23859 
401*453_181653
27*762 _20574 
111+2  _113
105+94 _199
26*9   _234   
64+67  _131
790+59 _849
0*549  _0     
627*661_414447
976+3  _979
240*14 _3360  
318*280_89040 
516+44 _560
48*37  _1776  
144+776_920
19*330 _6270  
512+2  _514
308*47 _14476 
707+8  _715
0*756  _0     
89+49  _138
5+687  _692
3*172  _516   
326*88 _28688 
7+655  _662
300+8  _308
6*357  _2142  
69+15  _84
75*208 _15600 
5*667  _3335  
81*218 _17658 
945*0  _0     
926*32 _29632 
184*478_87952 
148+949_1097
105+0  _105
15+37  _52
48*287 _13776 
217*8  _1736  
493*26 _12818 
80*241 _19280 
252+8  _260
8*109  _872   
881+74 _955
94+651 _745
228+803_1031
7+290  _297
83*987 _81921 
981+59 _1040
90*540 _48600 
308*549_169092
0*492  _0     
735+3  _738
613+0  _613
7+986  _993
872+117_989
740*309_228660
424+4  _428
61*231 _14091 
416*30 _12480 
850*16 _13600 
11+449 _460
91+570 _661
0+346  _346
906+666_1572
50*59  _2950  
1*529  _529   
138+575_713
949*43 _40807 
675*87 _58725 
1+274  _275
27*25  _675   
558*4  _2232  
10+925 _935
35*131 _4585  
61*67  _4087  
7+71   _78
79*55  _4345  
281*2  _562   
280*0  _0     
86+175 _261
61+211 _272
973*1  _973   
102*4  _408   
220+51 _271
43+38  _81
609+49 _658
5*717  _3585  
9*354  _3186  
17+62  _79
893+448_1341
866+289_1155
492*58 _28536 
4*456  _1824  
98*664 _65072 
261+293_554
6*552  _3312  
39*41  _1599  
851+4  _855
29*31  _899   
685+915_1600
17*45  _765   
102*95 _9690  
97*519 _50343 
18+801 _819
539+5  _544
16*355 _5680  
483+5  _488
663*979_649077
523+352_875
158*56 _8848  
333*98 _32634 
759+967_1726
389*471_183219
56*509 _28504 
58*47  _2726  
48+560 _608
645*30 _19350 
168*591_99288 
7+690  _697
34*38  _1292  
834*6  _5004  
76+410 _486
389+99 _488
80+476 _556
13*41  _533   
774+522_1296
5+439  _444
684+83 _767
19*758 _14402 
481+684_1165
48+424 _472
878+1  _879
63+92  _155
71*33  _2343  
474+391_865
654*2  _1308  
489+80 _569
76*84  _6384  
769+3  _772
29*48  _1392  
55*938 _51590 
15+586 _601
979+9  _988
47*67  _3149  
9+944  _953
217+844_1061
67+277 _344
92*619 _56948 
606*72 _43632 
60+187 _247
4+353  _357
4*221  _884   
380*1  _380   
55*89  _4895  
64+482 _546
901*6  _5406  
0+436  _436
60*14  _840   
229+361_590
920*601_552920
267*472_126024
314+30 _344
338+726_1064
762+2  _764
53*276 _14628 
774+0  _774
228+357_585
103+3  _106
26*163 _4238  
841*929_781289
43*82  _3526  
70+197 _267
8*169  _1352  
233*66 _15378 
19*425 _8075  
74*419 _31006 
447*5  _2235  
4*674  _2696  
94+811 _905
9+715  _724
326+220_546
413+89 _502
4+565  _569
122+7  _129
955+6  _961
76+837 _913
41+98  _139
468+369_837
706+59 _765
853+3  _856
767*43 _32981 
341*633_215853
36*38  _1368  
204+43 _247
66*85  _5610  
8+220  _228
401+10 _411
55*25  _1375  
312*70 _21840 
271*19 _5149  
8*286  _2288  
18*928 _16704 
77+45  _122
375*7  _2625  
131+971_1102
455+8  _463
974+635_1609
38+588 _626
308+6  _314
641+0  _641
56*121 _6776  
88*834 _73392 
815*92 _74980 
11+101 _112
7*276  _1932  
56*591 _33096 
50*136 _6800  
736+18 _754
808*9  _7272  
92*846 _77832 
171+23 _194
46+49  _95
713*1  _713   
680+4  _684
483*8  _3864  
829+96 _925
9*200  _1800  
595+213_808
19*83  _1577  
92*14  _1288  
160+11 _171
996*598_595608
2*339  _678   
5+245  _250
79+126 _205
72+414 _486
536*651_348936
6+885  _891
358+989_1347
1+394  _395
9+775  _784
87*34  _2958  
653+243_896
2*914  _1828  
577*427_246379
48*416 _19968 
82+649 _731
37*99  _3663  
315*40 _12600 
9+182  _191
911+41 _952
2*846  _1692  
9+938  _947
99*50  _4950  
382+7  _389
631+60 _691
29*28  _812   
26+35  _61
865*0  _0     
708*30 _21240 
849+90 _939
248+65 _313
79*281 _22199 
701*6  _4206  
85+99  _184
676*23 _15548 
4*141  _564   
95*17  _1615  
808*81 _65448 
871*486_423306
9*700  _6300  
724+88 _812
4+83   _87
26+459 _485
26+905 _931
257*2  _514   
16+122 _138
587*93 _54591 
22+474 _496
854*49 _41846 
954+64 _1018
961+5  _966
6+286  _292
768+5  _773
79+745 _824
805+367_1172
30*245 _7350  
70+51  _121
62+448 _510
93+51  _144
229+81 _310
834+91 _925
55*641 _35255 
607*0  _0     
64*714 _45696 
358*2  _716   
42+61  _103
0+557  _557
51*744 _37944 
20*40  _800   
650+30 _680
26*48  _1248  
353*230_81190 
754*65 _49010 
7+213  _220
954+17 _971
50*634 _31700 
38*340 _12920 
811+563_1374
719+882_1601
953*409_389777
984+873_1857
75+16  _91
32*384 _12288 
234+245_479
59*61  _3599  
68+92  _160
62+552 _614
543+140_683
73+854 _927
73*53  _3869  
790*9  _7110  
1+862  _863
47*84  _3948  
273+8  _281
122+383_505
235+594_829
7*165  _1155  
71+50  _121
604+51 _655
7*774  _5418  
34+912 _946
61+434 _495
274+79 _353
826*45 _37170 
218+121_339
548+601_1149
460+568_1028
656*572_375232
99+960 _1059
9+416  _425
249+383_632
23*674 _15502 
247*462_114114
1+172  _173
7+230  _237
30+12  _42
3*627  _1881  
1*734  _734   
0*263  _0     
91+36  _127
52*185 _9620  
8+748  _756
3+132  _135
10*208 _2080  
24*20  _480   
803*260_208780
317+296_613
12+24  _36
74*52  _3848  
1+396  _397
564*81 _45684 
49*81  _3969  
609+95 _704
522*5  _2610  
578+921_1499
21*190 _3990  
3*568  _1704  
366+7  _373
623*66 _41118 
39+601 _640
958+0  _958
45*32  _1440  
2+921  _923
94*352 _33088 
258+48 _306
755+883_1638
37+122 _159
846+560_1406
2*18   _36    
21*12  _252   
97*15  _1455  
48+651 _699
87*701 _60987 
85*960 _81600 
906+984_1890
243*4  _972   
7+265  _272
888*474_420912
518*439_227402
14*795 _11130 
241*82 _19762 
725*4  _2900  
951*4  _3804  
8+992  _1000
530*55 _29150 
14*57  _798   
28*76  _2128  
79+722 _801
98*982 _96236 
994+2  _996
544*14 _7616  
892+911_1803
902*87 _78474 
83*31  _2573  
818*871_712478
8+626  _634
21*78  _1638  
93+75  _168
641+39 _680
58*19  _1102  
246+861_1107
0*692  _0     
78*964 _75192 
99*808 _79992 
4*182  _728   
67+63  _130
44*837 _36828 
893+467_1360
512+9  _521
469+93 _562
931+58 _989
21*46  _966   
45+23  _68
86*44  _3784  
110+6  _116
53*592 _31376 
8*939  _7512  
44+297 _341
906*367_332502
677+56 _733
129*18 _2322  
149+872_1021
47+896 _943
178+6  _184
717+0  _717
36+170 _206
728+97 _825
88*35  _3080  
948+610_1558
657+440_1097
797+77 _874
444+8  _452
35*396 _13860 
44+615 _659
4+466  _470
236*2  _472   
884*733_647972
7+347  _354
1+130  _131
876*24 _21024 
516+511_1027
5*720  _3600  
291*2  _582   
2+574  _576
36*272 _9792  
515+866_1381
663*574_380562
1+859  _860
998*81 _80838 
409*6  _2454  
219+6  _225
625*6  _3750  
4+579  _583
19*818 _15542 
74*409 _30266 
88+82  _170
131+832_963
664+279_943
804*981_788724
746*62 _46252 
832*2  _1664  
784+68 _852
577*190_109630
665*9  _5985  
870+1  _871
395+913_1308
71+286 _357
811+608_1419
45*998 _44910 
4+582  _586
306*254_77724 
132+731_863
16+56  _72
91*32  _2912  
386*4  _1544  
1*906  _906   
228*6  _1368  
55+30  _85
94+8   _102
118+7  _125
7+47   _54
5*938  _4690  
51*18  _918   
228+5  _233
542+717_1259
4*517  _2068  
30*476 _14280 
927+260_1187
223*2  _446   
308*1  _308   
762+34 _796
29*163 _4727  
42*188 _7896  
73*77  _5621  
173*501_86673 
21*948 _19908 
64+789 _853
738*5  _3690  
6+758  _764
65+427 _492
789*99 _78111 
40*37  _1480  
843*2  _1686  
982+45 _1027
883*53 _46799 
5*392  _1960  
152+502_654
4+123  _127
957*16 _15312 
90*98  _8820  
79+29  _108
504+341_845
141+8  _149
5+133  _138
64+553 _617
6*52   _312   
43+959 _1002
791*83 _65653 
15+661 _676
263*4  _1052  
785+4  _789
65*79  _5135  
542*64 _34688 
97+745 _842
75*162 _12150 
377*380_143260
1*247  _247   
157+21 _178
791+82 _873
906+562_1468
789*313_246957
86*314 _27004 
