505*1  _505   
4*585  _2340  
359*12 _4308  
3*810  _2430  
2*517  _1034  
5*63   _315   
56*91  _5096  
35*1   _35    
58*877 _50866 
23*76  _1748  
52*37  _1924  
87*11  _957   
83*282 _23406 
514*5  _2570  
882*17 _14994 
44*659 _28996 
90*17  _1530  
98*759 _74382 
542*122_66124 
171*59 _10089 
806*783_631098
79*275 _21725 
359*577_207143
458*946_433268
409*4  _1636  
14*60  _840   
45*71  _3195  
146*31 _4526  
9*798  _7182  
129*218_28122 
18*4   _72    
9*984  _8856  
225*67 _15075 
8*382  _3056  
3*237  _711   
3*13   _39    
742*87 _64554 
636*415_263940
79*5   _395   
5*811  _4055  
87*59  _5133  
341*19 _6479  
766*334_255844
882*90 _79380 
44*15  _660   
931*427_397537
149*975_145275
10*332 _3320  
44*247 _10868 
60*626 _37560 
16*48  _768   
34*696 _23664 
622*68 _42296 
192*88 _16896 
54*57  _3078  
25*575 _14375 
577*957_552189
298*80 _23840 
71*96  _6816  
75*54  _4050  
901*63 _56763 
988*88 _86944 
981*4  _3924  
94*64  _6016  
22*467 _10274 
13*185 _2405  
737*7  _5159  
515*442_227630
0*869  _0     
44*685 _30140 
838*74 _62012 
2*713  _1426  
725*769_557525
239*0  _0     
0*610  _0     
127*363_46101 
50*642 _32100 
882*0  _0     
0*258  _0     
474*38 _18012 
76*1   _76    
0*222  _0     
416*0  _0     
4*757  _3028  
95*371 _35245 
217*55 _11935 
87*54  _4698  
942*93 _87606 
61*814 _49654 
803*3  _2409  
312*7  _2184  
510*145_73950 
237*8  _1896  
98*838 _82124 
178*671_119438
77*4   _308   
790*871_688090
877*4  _3508  
755*298_224990
741*8  _5928  
591*1  _591   
692*97 _67124 
27*974 _26298 
601*18 _10818 
14*55  _770   
62*40  _2480  
156*56 _8736  
43*739 _31777 
945*83 _78435 
6*211  _1266  
835*150_125250
5*110  _550   
7*72   _504   
72*6   _432   
107*562_60134 
9*381  _3429  
977*34 _33218 
675*108_72900 
192*6  _1152  
7*320  _2240  
574*71 _40754 
683*7  _4781  
934*17 _15878 
6*887  _5322  
8*604  _4832  
722*32 _23104 
67*110 _7370  
362*2  _724   
519*4  _2076  
673*535_360055
8*229  _1832  
470*3  _1410  
595*413_245735
930*8  _7440  
960*273_262080
28*119 _3332  
94*73  _6862  
6*540  _3240  
703*4  _2812  
90*38  _3420  
141*8  _1128  
621*9  _5589  
83*466 _38678 
317*25 _7925  
45*86  _3870  
216*564_121824
594*4  _2376  
851*809_688459
78*85  _6630  
654*546_357084
885*77 _68145 
98*886 _86828 
6*13   _78    
39*58  _2262  
151*814_122914
78*944 _73632 
77*961 _73997 
713*29 _20677 
569*52 _29588 
4*97   _388   
423*950_401850
7*16   _112   
289*847_244783
25*3   _75    
643*923_593489
736*3  _2208  
369*1  _369   
117*2  _234   
2*739  _1478  
6*333  _1998  
672*358_240576
184*22 _4048  
902*8  _7216  
8*97   _776   
319*4  _1276  
29*946 _27434 
5*405  _2025  
43*466 _20038 
3*717  _2151  
54*266 _14364 
1*66   _66    
1*27   _27    
949*4  _3796  
73*7   _511   
938*5  _4690  
9*319  _2871  
229*666_152514
4*833  _3332  
148*57 _8436  
5*239  _1195  
281*1  _281   
10*22  _220   
5*694  _3470  
19*400 _7600  
515*48 _24720 
892*23 _20516 
39*218 _8502  
533*131_69823 
7*963  _6741  
1*295  _295   
0*397  _0     
2*756  _1512  
120*334_40080 
393*1  _393   
634*8  _5072  
674*520_350480
250*22 _5500  
204*472_96288 
53*74  _3922  
3*855  _2565  
7*480  _3360  
99*216 _21384 
9*59   _531   
67*3   _201   
2*411  _822   
60*29  _1740  
909*784_712656
185*3  _555   
821*8  _6568  
162*9  _1458  
44*333 _14652 
4*951  _3804  
248*8  _1984  
83*268 _22244 
72*54  _3888  
505*2  _1010  
1*26   _26    
615*831_511065
35*87  _3045  
3*414  _1242  
8*769  _6152  
42*42  _1764  
55*36  _1980  
8*547  _4376  
7*300  _2100  
185*18 _3330  
360*3  _1080  
55*88  _4840  
7*872  _6104  
134*3  _402   
134*54 _7236  
427*5  _2135  
612*6  _3672  
0*828  _0     
235*7  _1645  
334*742_247828
329*9  _2961  
5*594  _2970  
55*73  _4015  
713*7  _4991  
547*12 _6564  
720*75 _54000 
725*528_382800
20*15  _300   
4*642  _2568  
264*328_86592 
90*79  _7110  
865*3  _2595  
75*291 _21825 
58*925 _53650 
45*98  _4410  
99*85  _8415  
386*2  _772   
84*1   _84    
660*5  _3300  
79*599 _47321 
8*420  _3360  
38*25  _950   
5*325  _1625  
5*504  _2520  
33*98  _3234  
3*21   _63    
63*647 _40761 
77*85  _6545  
41*51  _2091  
91*813 _73983 
71*92  _6532  
925*3  _2775  
428*155_66340 
90*65  _5850  
22*841 _18502 
7*15   _105   
97*443 _42971 
256*8  _2048  
156*434_67704 
50*55  _2750  
61*3   _183   
41*38  _1558  
81*2   _162   
14*465 _6510  
97*329 _31913 
66*84  _5544  
2*345  _690   
388*6  _2328  
93*29  _2697  
36*31  _1116  
805*97 _78085 
872*945_824040
495*79 _39105 
6*338  _2028  
920*23 _21160 
900*304_273600
74*20  _1480  
2*295  _590   
2*711  _1422  
77*924 _71148 
368*70 _25760 
44*63  _2772  
745*87 _64815 
36*562 _20232 
61*903 _55083 
56*5   _280   
856*7  _5992  
49*510 _24990 
0*661  _0     
556*707_393092
441*7  _3087  
250*246_61500 
236*2  _472   
538*9  _4842  
7*964  _6748  
266*0  _0     
209*409_85481 
21*61  _1281  
69*793 _54717 
83*893 _74119 
211*465_98115 
68*457 _31076 
121*30 _3630  
46*413 _18998 
211*84 _17724 
57*783 _44631 
10*708 _7080  
799*46 _36754 
35*111 _3885  
29*48  _1392  
296*848_251008
64*46  _2944  
75*58  _4350  
88*982 _86416 
20*84  _1680  
81*421 _34101 
23*573 _13179 
89*159 _14151 
249*5  _1245  
40*38  _1520  
49*60  _2940  
63*57  _3591  
948*215_203820
1*652  _652   
504*565_284760
6*466  _2796  
419*3  _1257  
590*0  _0     
1*72   _72    
459*94 _43146 
23*904 _20792 
74*15  _1110  
3*940  _2820  
101*5  _505   
86*75  _6450  
25*248 _6200  
672*410_275520
25*647 _16175 
10*991 _9910  
954*37 _35298 
1*20   _20    
21*130 _2730  
347*4  _1388  
621*4  _2484  
75*847 _63525 
783*813_636579
76*521 _39596 
52*690 _35880 
23*10  _230   
77*797 _61369 
901*2  _1802  
626*19 _11894 
60*30  _1800  
961*11 _10571 
568*804_456672
411*4  _1644  
216*4  _864   
365*7  _2555  
3*188  _564   
559*6  _3354  
8*914  _7312  
0*935  _0     
994*1  _994   
4*137  _548   
27*4   _108   
8*956  _7648  
557*9  _5013  
46*10  _460   
478*826_394828
441*2  _882   
71*9   _639   
89*27  _2403  
74*0   _0     
230*3  _690   
83*756 _62748 
0*443  _0     
882*43 _37926 
35*404 _14140 
3*75   _225   
1*780  _780   
726*48 _34848 
95*4   _380   
941*15 _14115 
474*72 _34128 
903*229_206787
371*90 _33390 
74*6   _444   
39*73  _2847  
721*3  _2163  
100*72 _7200  
803*662_531586
601*617_370817
19*5   _95    
568*331_188008
64*214 _13696 
111*760_84360 
724*423_306252
915*781_714615
58*4   _232   
391*336_131376
17*47  _799   
8*495  _3960  
54*660 _35640 
65*394 _25610 
2*532  _1064  
91*978 _88998 
490*57 _27930 
2*413  _826   
557*19 _10583 
198*626_123948
164*5  _820   
334*53 _17702 
431*622_268082
2*425  _850   
118*914_107852
339*339_114921
4*86   _344   
293*28 _8204  
882*988_871416
43*50  _2150  
6*260  _1560  
447*1  _447   
134*8  _1072  
690*26 _17940 
874*4  _3496  
9*935  _8415  
881*52 _45812 
2*424  _848   
6*701  _4206  
0*76   _0     
9*213  _1917  
63*9   _567   
15*86  _1290  
758*8  _6064  
239*683_163237
377*11 _4147  
54*716 _38664 
524*840_440160
273*34 _9282  
667*75 _50025 
50*16  _800   
4*403  _1612  
422*2  _844   
86*17  _1462  
17*752 _12784 
5*551  _2755  
945*28 _26460 
368*9  _3312  
846*347_293562
883*529_467107
458*69 _31602 
246*167_41082 
861*15 _12915 
838*8  _6704  
766*271_207586
7*148  _1036  
543*307_166701
14*652 _9128  
147*386_56742 
6*615  _3690  
48*26  _1248  
43*77  _3311  
737*74 _54538 
178*530_94340 
980*8  _7840  
93*90  _8370  
613*16 _9808  
52*5   _260   
4*107  _428   
718*4  _2872  
6*198  _1188  
70*997 _69790 
31*542 _16802 
17*22  _374   
46*96  _4416  
946*589_557194
555*5  _2775  
0*762  _0     
884*6  _5304  
85*54  _4590  
8*877  _7016  
90*1   _90    
91*632 _57512 
54*735 _39690 
94*230 _21620 
811*17 _13787 
248*65 _16120 
634*2  _1268  
50*0   _0     
90*3   _270   
71*874 _62054 
38*813 _30894 
76*9   _684   
17*4   _68    
52*88  _4576  
577*640_369280
164*61 _10004 
34*33  _1122  
638*37 _23606 
4*376  _1504  
6*432  _2592  
65*69  _4485  
725*885_641625
58*26  _1508  
76*318 _24168 
168*61 _10248 
104*3  _312   
58*8   _464   
62*632 _39184 
4*20   _80    
787*796_626452
160*94 _15040 
52*17  _884   
509*710_361390
3*308  _924   
948*68 _64464 
75*229 _17175 
664*31 _20584 
17*637 _10829 
2*696  _1392  
893*154_137522
592*324_191808
83*12  _996   
3*556  _1668  
26*80  _2080  
12*253 _3036  
1*820  _820   
108*543_58644 
22*5   _110   
143*0  _0     
82*908 _74456 
292*987_288204
195*24 _4680  
92*99  _9108  
277*85 _23545 
618*981_606258
90*83  _7470  
82*40  _3280  
676*789_533364
404*883_356732
929*415_385535
23*563 _12949 
531*297_157707
409*0  _0     
9*840  _7560  
239*4  _956   
567*86 _48762 
630*47 _29610 
94*8   _752   
2*643  _1286  
6*222  _1332  
7*703  _4921  
2*931  _1862  
760*11 _8360  
9*264  _2376  
298*741_220818
1*81   _81    
2*600  _1200  
665*333_221445
44*77  _3388  
99*340 _33660 
36*97  _3492  
90*555 _49950 
82*512 _41984 
904*1  _904   
129*533_68757 
322*96 _30912 
672*2  _1344  
0*457  _0     
938*8  _7504  
29*38  _1102  
7*770  _5390  
5*906  _4530  
768*4  _3072  
951*55 _52305 
148*41 _6068  
57*13  _741   
238*0  _0     
431*10 _4310  
721*677_488117
558*1  _558   
2*183  _366   
159*93 _14787 
719*3  _2157  
5*360  _1800  
375*58 _21750 
792*187_148104
623*0  _0     
714*7  _4998  
3*824  _2472  
74*507 _37518 
5*979  _4895  
750*96 _72000 
831*51 _42381 
5*896  _4480  
84*14  _1176  
920*454_417680
746*401_299146
82*64  _5248  
566*6  _3396  
62*30  _1860  
52*553 _28756 
0*287  _0     
33*78  _2574  
38*38  _1444  
0*925  _0     
449*67 _30083 
25*41  _1025  
8*14   _112   
725*45 _32625 
674*575_387550
863*58 _50054 
937*389_364493
323*2  _646   
209*9  _1881  
390*123_47970 
650*50 _32500 
27*389 _10503 
7*180  _1260  
715*2  _1430  
451*155_69905 
0*139  _0     
223*489_109047
8*450  _3600  
7*608  _4256  
87*424 _36888 
427*934_398818
341*536_182776
869*5  _4345  
4*714  _2856  
226*0  _0     
83*53  _4399  
77*645 _49665 
5*861  _4305  
761*698_531178
75*34  _2550  
539*540_291060
490*23 _11270 
9*936  _8424  
522*42 _21924 
40*4   _160   
852*64 _54528 
96*6   _576   
5*41   _205   
413*9  _3717  
104*783_81432 
81*28  _2268  
771*25 _19275 
43*22  _946   
34*500 _17000 
86*540 _46440 
437*3  _1311  
6*939  _5634  
98*48  _4704  
732*16 _11712 
801*0  _0     
423*6  _2538  
7*90   _630   
487*75 _36525 
824*7  _5768  
4*494  _1976  
0*440  _0     
803*592_475376
861*19 _16359 
465*855_397575
23*92  _2116  
1*55   _55    
23*292 _6716  
750*686_514500
44*51  _2244  
37*791 _29267 
1*296  _296   
4*78   _312   
65*956 _62140 
4*921  _3684  
57*16  _912   
74*7   _518   
433*14 _6062  
4*149  _596   
6*556  _3336  
72*649 _46728 
630*68 _42840 
8*587  _4696  
6*20   _120   
406*51 _20706 
79*3   _237   
44*54  _2376  
360*222_79920 
83*378 _31374 
45*614 _27630 
802*1  _802   
0*208  _0     
718*2  _1436  
908*164_148912
449*83 _37267 
283*360_101880
566*507_286962
716*895_640820
61*660 _40260 
3*808  _2424  
8*716  _5728  
426*9  _3834  
755*93 _70215 
410*6  _2460  
1*959  _959   
631*468_295308
18*49  _882   
452*9  _4068  
0*562  _0     
5*433  _2165  
1*957  _957   
444*5  _2220  
42*909 _38178 
12*48  _576   
8*341  _2728  
638*8  _5104  
77*985 _75845 
112*163_18256 
77*130 _10010 
79*642 _50718 
190*301_57190 
672*742_498624
861*451_388311
593*70 _41510 
489*49 _23961 
911*0  _0     
764*7  _5348  
3*41   _123   
73*399 _29127 
90*151 _13590 
8*96   _768   
737*2  _1474  
46*94  _4324  
8*416  _3328  
44*9   _396   
543*18 _9774  
6*84   _504   
90*68  _6120  
41*30  _1230  
695*7  _4865  
225*50 _11250 
983*100_98300 
862*3  _2586  
522*745_388890
7*857  _5999  
566*9  _5094  
984*370_364080
77*312 _24024 
103*8  _824   
3*673  _2019  
22*64  _1408  
751*46 _34546 
507*2  _1014  
75*200 _15000 
757*982_743374
493*6  _2958  
183*84 _15372 
8*847  _6776  
58*253 _14674 
61*991 _60451 
819*49 _40131 
132*0  _0     
81*52  _4212  
53*23  _1219  
703*57 _40071 
8*434  _3472  
446*61 _27206 
120*4  _480   
658*5  _3290  
66*201 _13266 
6*416  _2496  
83*16  _1328  
17*42  _714   
453*2  _906   
8*360  _2880  
46*278 _12788 
77*159 _12243 
8*925  _7400  
38*19  _722   
765*2  _1530  
57*407 _23199 
62*550 _34100 
7*830  _5810  
444*130_57720 
554*701_388354
71*143 _10153 
872*724_631328
62*57  _3534  
935*4  _3740  
64*65  _4160  
428*93 _39804 
898*30 _26940 
130*76 _9880  
930*66 _61380 
909*0  _0     
2*403  _806   
261*92 _24012 
747*94 _70218 
4*814  _3256  
52*71  _3692  
791*59 _46669 
378*668_252504
333*0  _0     
448*8  _3584  
53*38  _2014  
77*280 _21560 
44*397 _17468 
25*868 _21700 
3*896  _2688  
1*927  _927   
20*68  _1360  
3*468  _1404  
934*5  _4670  
1*641  _641   
18*617 _11106 
419*50 _20950 
56*18  _1008  
52*921 _47892 
33*347 _11451 
57*57  _3249  
21*25  _525   
441*5  _2205  
670*6  _4020  
7*937  _6559  
435*37 _16095 
28*184 _5152  
6*752  _4512  
37*419 _15503 
233*725_168925
215*12 _2580  
21*17  _357   
76*17  _1292  
793*4  _3172  
71*67  _4757  
263*82 _21566 
93*936 _87048 
731*7  _5117  
325*87 _28275 
675*6  _4050  
58*5   _290   
133*72 _9576  
0*34   _0     
879*129_113391
708*43 _30444 
15*301 _4515  
1*223  _223   
52*36  _1872  
926*321_297246
86*468 _40248 
193*5  _965   
873*63 _54999 
482*6  _2892  
28*977 _27356 
800*12 _9600  
58*388 _22504 
16*536 _8576  
60*72  _4320  
324*47 _15228 
205*4  _820   
56*699 _39144 
191*6  _1146  
28*398 _11144 
11*543 _5973  
910*75 _68250 
4*756  _3024  
922*358_330076
34*114 _3876  
60*547 _32820 
214*5  _1070  
797*9  _7173  
7*562  _3934  
747*47 _35109 
3*917  _2751  
315*32 _10080 
418*776_324368
675*770_519750
374*75 _28050 
857*3  _2571  
74*66  _4884  
470*850_399500
769*578_444482
38*95  _3610  
848*890_754720
0*767  _0     
21*21  _441   
132*35 _4620  
15*221 _3315  
68*913 _62084 
850*0  _0     
160*271_43360 
2*904  _1808  
352*22 _7744  
5*435  _2175  
2*221  _442   
5*178  _890   
861*1  _861   
51*56  _2856  
411*0  _0     
63*8   _504   
5*827  _4135  
4*306  _1224  
843*720_606960
7*875  _6125  
76*856 _65056 
55*83  _4565  
9*816  _7344  
382*386_147452
62*374 _23188 
64*8   _512   
803*823_660869
71*35  _2485  
91*832 _75712 
652*83 _54116 
6*439  _2634  
87*583 _50721 
867*38 _32946 
7*437  _3059  
83*877 _72791 
838*53 _44414 
81*61  _4941  
559*10 _5590  
1*62   _62    
76*504 _38304 
129*0  _0     
179*245_43855 
213*974_207462
95*65  _6175  
349*28 _9772  
284*800_227200
9*686  _6174  
79*287 _22673 
0*146  _0     
759*39 _29601 
7*359  _2513  
318*680_216240
711*711_505521
32*37  _1184  
823*59 _48557 
168*6  _1008  
8*499  _3992  
13*542 _7046  
1*193  _193   
811*352_285472
38*604 _22952 
295*3  _885   
64*240 _15360 
718*30 _21540 
60*347 _20820 
93*23  _2139  
51*98  _4998  
157*5  _785   
12*724 _8688  
71*22  _1562  
9*900  _8100  
550*233_128150
555*2  _1110  
77*62  _4774  
2*838  _1676  
433*326_141158
92*634 _58328 
66*17  _1122  
315*249_78435 
23*7   _161   
178*470_83660 
34*654 _22236 
2*997  _1994  
60*146 _8760  
751*761_571511
71*2   _142   
824*2  _1648  
888*96 _85248 
34*66  _2244  
81*99  _8019  
84*99  _8316  
877*69 _60513 
1*634  _634   
863*674_581662
753*2  _1506  
191*3  _573   
2*499  _998   
7*159  _1113  
358*3  _1074  
168*38 _6384  
92*327 _30084 
839*44 _36916 
33*810 _26730 
98*103 _10094 
345*493_170085
28*49  _1372  
84*7   _588   
1*436  _436   
8*131  _1048  
91*980 _89180 
880*7  _6160  
45*414 _18630 
0*651  _0     
9*872  _7848  
1*469  _469   
525*924_485100
79*82  _6478  
404*2  _808   
290*0  _0     
0*421  _0     
7*273  _1911  
244*112_27328 
52*40  _2080  
7*332  _2324  
31*976 _30256 
165*76 _12540 
16*2   _32    
197*9  _1773  
356*65 _23140 
154*433_66682 
74*85  _6290  
18*17  _306   
91*675 _61425 
20*73  _1460  
62*59  _3658  
726*590_428340
331*543_179733
59*77  _4543  
483*6  _2898  
856*3  _2568  
598*13 _7774  
15*828 _12420 
44*816 _35904 
0*330  _0     
475*34 _16150 
56*14  _784   
984*728_716352
0*301  _0     
71*349 _24779 
51*81  _4131  
3*624  _1872  
13*41  _533   
69*936 _64584 
76*62  _4712  
937*981_919197
691*5  _3455  
84*61  _5124  
530*354_187620
357*6  _2142  
11*75  _825   
45*67  _3015  
866*5  _4330  
1*256  _256   
5*86   _430   
882*7  _6174  
769*14 _10766 
66*994 _65604 
70*712 _49840 
1*125  _125   
564*111_62604 
31*57  _1767  
62*914 _56668 
582*1  _582   
844*46 _38824 
635*70 _44450 
52*174 _9048  
58*562 _32596 
547*792_433224
975*1  _975   
2*615  _1230  
868*421_365428
725*14 _10150 
20*332 _6640  
83*846 _70218 
240*72 _17280 
657*9  _5913  
337*334_112558
791*6  _4746  
49*27  _1323  
1*44   _44    
30*580 _17400 
98*18  _1764  
106*7  _742   
86*123 _10578 
902*92 _82984 
44*838 _36872 
978*5  _4890  
272*90 _24480 
8*808  _6464  
34*25  _850   
448*9  _4032  
317*65 _20605 
891*3  _2673  
303*559_169377
37*347 _12839 
1*328  _328   
13*732 _9516  
784*36 _28224 
37*568 _21016 
745*40 _29800 
801*2  _1602  
18*692 _12456 
9*427  _3843  
665*5  _3325  
61*51  _3111  
851*6  _5106  
516*44 _22704 
45*79  _3555  
249*376_93624 
34*136 _4624  
5*532  _2660  
436*622_271192
88*915 _80520 
621*1  _621   
0*391  _0     
2*466  _932   
756*397_300132
3*988  _2964  
934*8  _7472  
93*2   _186   
47*687 _32289 
18*47  _846   
8*805  _6440  
35*8   _280   
733*0  _0     
51*28  _1428  
998*0  _0     
2*831  _1662  
0*540  _0     
208*32 _6656  
4*503  _2012  
290*439_127310
4*778  _3112  
722*21 _15162 
732*67 _49044 
11*763 _8393  
577*481_277537
621*51 _31671 
87*299 _26013 
993*34 _33762 
257*285_73245 
304*230_69920 
995*32 _31840 
631*28 _17668 
201*8  _1608  
734*186_136524
17*995 _16915 
827*54 _44658 
29*85  _2465  
834*695_579630
228*658_150024
11*532 _5852  
842*0  _0     
9*812  _7308  
438*7  _3066  
27*68  _1836  
78*328 _25584 
9*95   _855   
646*45 _29070 
40*29  _1160  
85*20  _1700  
507*69 _34983 
414*984_407376
460*97 _44620 
671*4  _2684  
609*15 _9135  
41*911 _37351 
62*12  _744   
793*815_646295
335*194_64990 
760*45 _34200 
459*740_339660
9*952  _8568  
5*263  _1315  
853*6  _5118  
28*38  _1064  
291*58 _16878 
78*533 _41574 
72*3   _216   
430*9  _3870  
183*65 _11895 
975*363_353925
46*232 _10672 
730*2  _1460  
410*461_189010
901*28 _25228 
898*76 _68248 
833*152_126616
991*15 _14865 
48*172 _8256  
291*80 _23280 
583*86 _50138 
622*883_549226
531*8  _4248  
13*547 _7111  
79*42  _3318  
394*590_232460
525*57 _29925 
0*587  _0     
98*2   _196   
94*487 _45778 
133*340_45220 
783*9  _7047  
5*535  _2675  
55*45  _2475  
0*73   _0     
640*3  _1920  
96*14  _1344  
853*855_729315
17*84  _1428  
456*5  _2280  
9*493  _4437  
95*16  _1520  
859*901_773959
668*2  _1336  
94*3   _282   
84*94  _7896  
289*8  _2312  
16*916 _14656 
663*32 _21216 
560*58 _32480 
5*748  _3740  
369*6  _2214  
721*96 _69216 
276*0  _0     
863*367_316721
154*151_23254 
82*99  _8118  
886*507_449202
957*6  _5742  
318*28 _8904  
238*37 _8806  
27*58  _1566  
547*1  _547   
1*766  _766   
695*24 _16680 
549*16 _8784  
148*400_59200 
15*305 _4575  
767*8  _6136  
668*44 _29392 
418*23 _9614  
67*410 _27470 
203*47 _9541  
721*639_460719
81*297 _24057 
219*93 _20367 
751*232_174232
40*853 _34120 
321*94 _30174 
854*378_322812
112*24 _2688  
425*9  _3825  
279*4  _1116  
7*818  _5726  
3*465  _1395  
741*435_322335
175*2  _350   
43*507 _21801 
23*3   _69    
855*271_231705
99*59  _5841  
8*47   _376   
38*6   _228   
12*775 _9300  
452*748_338096
385*56 _21560 
54*733 _39582 
20*186 _3720  
806*91 _73346 
91*40  _3640  
14*42  _588   
348*467_162516
775*408_316200
79*988 _78052 
95*436 _41420 
1*426  _426   
7*851  _5957  
28*359 _10052 
647*2  _1294  
520*472_245440
415*83 _34445 
590*707_417130
6*889  _5334  
54*73  _3942  
378*564_213192
18*803 _14454 
8*827  _6616  
879*34 _29886 
172*88 _15136 
57*74  _4218  
561*8  _4488  
7*99   _693   
9*310  _2790  
705*0  _0     
28*520 _14560 
42*252 _10584 
28*80  _2240  
833*138_114954
98*6   _588   
885*820_725700
214*81 _17334 
445*43 _19135 
228*110_25080 
985*18 _17730 
685*0  _0     
9*533  _4797  
380*0  _0     
188*89 _16732 
8*845  _6760  
43*851 _36593 
845*2  _1690  
324*82 _26568 
408*56 _22848 
6*537  _3222  
228*78 _17784 
71*548 _38908 
372*31 _11532 
0*872  _0     
46*85  _3910  
311*4  _1244  
75*838 _62850 
641*7  _4487  
172*560_96320 
41*65  _2665  
96*17  _1632  
84*24  _2016  
18*26  _468   
26*57  _1482  
78*32  _2496  
9*632  _5688  
122*5  _610   
30*607 _18210 
7*53   _371   
862*6  _5172  
7*757  _5299  
20*70  _1400  
605*564_341220
375*8  _3000  
676*1  _676   
6*331  _1986  
70*56  _3920  
7*185  _1295  
12*375 _4500  
406*3  _1218  
329*37 _12173 
356*47 _16732 
54*93  _5022  
47*443 _20821 
42*15  _630   
73*988 _72124 
950*32 _30400 
989*92 _90988 
357*8  _2856  
5*73   _365   
42*0   _0     
529*6  _3174  
59*98  _5782  
79*85  _6715  
460*911_419060
356*8  _2848  
483*84 _40572 
478*850_406300
109*6  _654   
25*388 _9700  
86*293 _25198 
152*8  _1216  
0*395  _0     
65*638 _41470 
997*14 _13958 
7*753  _5271  
14*34  _476   
969*2  _1938  
9*443  _3987  
311*3  _933   
8*10   _80    
2*376  _752   
658*8  _5264  
906*278_251868
991*32 _31712 
143*7  _1001  
525*22 _11550 
505*55 _27775 
88*325 _28600 
83*30  _2490  
550*44 _24200 
81*91  _7371  
81*135 _10935 
2*25   _50    
42*738 _30996 
365*3  _1095  
752*536_403072
793*8  _6344  
8*418  _3344  
3*169  _507   
28*173 _4844  
32*12  _384   
664*55 _36520 
5*343  _1715  
28*709 _19852 
80*445 _35600 
72*918 _66096 
315*30 _9450  
85*771 _65535 
4*565  _2260  
49*4   _196   
641*715_458315
790*61 _48190 
49*867 _42483 
308*2  _616   
425*55 _23375 
38*47  _1786  
49*247 _12103 
99*25  _2475  
577*9  _5193  
86*183 _15738 
718*969_695742
63*70  _4410  
402*32 _12864 
640*7  _4480  
125*79 _9875  
78*232 _18096 
42*489 _20538 
280*8  _2240  
0*514  _0     
921*3  _2763  
390*9  _3510  
821*1  _821   
830*78 _64740 
529*0  _0     
11*28  _308   
657*43 _28251 
404*3  _1212  
95*691 _65645 
7*919  _6433  
420*424_178080
160*1  _160   
8*318  _2544  
412*999_411588
2*269  _538   
355*932_330860
201*379_76179 
428*1  _428   
574*310_177940
517*3  _1551  
23*711 _16353 
7*127  _889   
500*33 _16500 
29*22  _638   
42*43  _1806  
20*346 _6920  
60*450 _27000 
684*1  _684   
433*1  _433   
9*620  _5580  
93*317 _29481 
648*8  _5184  
324*4  _1296  
605*5  _3025  
145*37 _5365  
53*350 _18550 
61*434 _26474 
29*51  _1479  
5*825  _4125  
200*7  _1400  
16*6   _96    
416*18 _7488  
753*3  _2259  
64*58  _3712  
946*8  _7568  
11*0   _0     
7*347  _2429  
3*27   _81    
380*47 _17860 
3*38   _114   
39*4   _156   
648*19 _12312 
57*5   _285   
44*32  _1408  
900*234_210600
443*60 _26580 
655*97 _63535 
59*4   _236   
17*985 _16745 
9*802  _7218  
653*58 _37874 
627*2  _1254  
540*1  _540   
7*554  _3878  
5*395  _1975  
6*934  _5604  
865*66 _57090 
985*1  _985   
643*5  _3215  
56*84  _4704  
3*53   _159   
20*61  _1220  
841*958_805678
0*354  _0     
52*649 _33748 
95*792 _75240 
904*825_745800
315*433_136395
491*62 _30442 
799*95 _75905 
189*669_126441
779*893_695647
422*151_63722 
748*9  _6732  
8*143  _1144  
48*715 _34320 
665*3  _1995  
489*886_433254
794*97 _77018 
48*264 _12672 
55*80  _4400  
296*5  _1480  
698*16 _11168 
373*19 _7087  
633*414_262062
965*915_882975
944*0  _0     
921*778_716538
7*389  _2723  
431*7  _3017  
382*39 _14898 
0*575  _0     
68*83  _5644  
857*848_726736
922*999_921078
24*64  _1536  
28*70  _1960  
423*7  _2961  
68*92  _6256  
373*180_67140 
665*17 _11305 
785*65 _51025 
910*713_648830
419*207_86733 
827*3  _2481  
135*66 _8910  
1*213  _213   
311*91 _28301 
12*31  _372   
892*2  _1784  
637*6  _3822  
226*55 _12430 
281*75 _21075 
470*7  _3290  
55*554 _30470 
669*9  _6021  
275*452_124300
419*2  _838   
429*78 _33462 
96*340 _32640 
2*274  _548   
4*247  _988   
945*80 _75600 
64*247 _15808 
340*316_107440
173*694_120062
71*915 _64965 
48*63  _3024  
4*936  _3744  
3*950  _2850  
9*295  _2655  
24*687 _16488 
78*43  _3354  
98*665 _65170 
8*567  _4536  
6*269  _1614  
94*877 _82438 
6*326  _1956  
487*144_70128 
353*2  _706   
868*526_456568
0*148  _0     
66*36  _2376  
542*408_221136
9*75   _675   
37*9   _333   
472*8  _3776  
835*455_379925
390*93 _36270 
44*408 _17952 
2*676  _1352  
71*916 _65036 
234*13 _3042  
675*2  _1350  
234*4  _936   
60*339 _20340 
5*221  _1105  
49*25  _1225  
1*403  _403   
289*99 _28611 
798*16 _12768 
8*818  _6544  
19*84  _1596  
338*25 _8450  
17*514 _8738  
7*867  _6069  
877*11 _9647  
451*16 _7216  
44*407 _17908 
77*143 _11011 
749*92 _68908 
14*198 _2772  
139*1  _139   
8*342  _2736  
228*203_46284 
98*659 _64582 
1*811  _811   
972*57 _55404 
71*60  _4260  
47*484 _22748 
3*834  _2502  
90*15  _1350  
3*105  _315   
102*0  _0     
