32-0   _32  
13-64  _-51 
69-527 _-458
7-167  _-160
68-160 _-92 
347-27 _320 
3-901  _-898
862-6  _856 
1-190  _-189
918-18 _900 
430-113_317 
7-180  _-173
86-712 _-626
11-923 _-912
74-12  _62  
94-4   _90  
48-13  _35  
424-30 _394 
46-94  _-48 
540-7  _533 
8-598  _-590
702-69 _633 
96-30  _66  
746-97 _649 
14-108 _-94 
1-238  _-237
0-54   _-54 
3-83   _-80 
864-22 _842 
29-33  _-4  
555-2  _553 
9-213  _-204
6-692  _-686
10-90  _-80 
355-37 _318 
26-106 _-80 
416-1  _415 
452-749_-297
5-57   _-52 
5-961  _-956
909-91 _818 
55-927 _-872
79-439 _-360
356-7  _349 
235-2  _233 
13-788 _-775
449-533_-84 
166-51 _115 
709-8  _701 
49-808 _-759
25-16  _9   
85-88  _-3  
212-81 _131 
627-6  _621 
57-112 _-55 
457-96 _361 
3-523  _-520
498-624_-126
318-175_143 
25-186 _-161
86-80  _6   
3-361  _-358
604-52 _552 
377-709_-332
99-125 _-26 
6-809  _-803
918-2  _916 
460-20 _440 
338-5  _333 
797-968_-171
68-541 _-473
7-908  _-901
438-7  _431 
446-620_-174
88-385 _-297
15-41  _-26 
241-66 _175 
91-72  _19  
967-5  _962 
72-77  _-5  
96-319 _-223
997-22 _975 
338-86 _252 
382-977_-595
423-3  _420 
61-958 _-897
8-817  _-809
360-78 _282 
175-358_-183
626-37 _589 
77-8   _69  
677-4  _673 
3-516  _-513
31-349 _-318
403-1  _402 
126-9  _117 
437-41 _396 
454-2  _452 
998-12 _986 
14-82  _-68 
510-881_-371
80-660 _-580
293-675_-382
120-897_-777
888-2  _886 
69-27  _42  
561-32 _529 
624-904_-280
554-882_-328
992-300_692 
66-745 _-679
954-8  _946 
536-5  _531 
7-558  _-551
794-419_375 
9-349  _-340
260-627_-367
348-0  _348 
960-93 _867 
91-89  _2   
292-83 _209 
31-421 _-390
449-271_178 
90-41  _49  
5-793  _-788
677-29 _648 
684-206_478 
46-36  _10  
226-8  _218 
108-49 _59  
131-10 _121 
807-23 _784 
95-55  _40  
58-60  _-2  
688-29 _659 
81-869 _-788
57-50  _7   
5-675  _-670
79-489 _-410
871-0  _871 
69-992 _-923
9-430  _-421
50-26  _24  
141-54 _87  
73-423 _-350
8-284  _-276
691-90 _601 
96-540 _-444
90-776 _-686
3-936  _-933
367-556_-189
531-4  _527 
92-879 _-787
3-530  _-527
781-38 _743 
649-48 _601 
409-591_-182
133-43 _90  
782-314_468 
8-663  _-655
354-257_97  
308-87 _221 
20-79  _-59 
1-179  _-178
3-788  _-785
496-6  _490 
13-742 _-729
73-486 _-413
65-172 _-107
38-82  _-44 
116-796_-680
326-2  _324 
80-250 _-170
482-6  _476 
502-76 _426 
82-962 _-880
748-11 _737 
781-555_226 
25-468 _-443
662-0  _662 
869-1  _868 
12-973 _-961
6-576  _-570
51-609 _-558
766-49 _717 
2-142  _-140
369-4  _365 
570-6  _564 
899-98 _801 
6-791  _-785
80-699 _-619
74-63  _11  
6-100  _-94 
484-584_-100
626-19 _607 
410-424_-14 
2-550  _-548
478-60 _418 
20-626 _-606
914-68 _846 
948-7  _941 
601-72 _529 
916-2  _914 
356-201_155 
17-71  _-54 
813-37 _776 
5-25   _-20 
61-566 _-505
203-9  _194 
26-96  _-70 
710-2  _708 
3-696  _-693
5-122  _-117
61-69  _-8  
609-58 _551 
414-9  _405 
196-63 _133 
645-829_-184
45-31  _14  
59-21  _38  
579-35 _544 
640-73 _567 
323-94 _229 
871-241_630 
28-470 _-442
171-7  _164 
29-172 _-143
908-24 _884 
6-169  _-163
9-635  _-626
43-882 _-839
76-790 _-714
0-947  _-947
24-686 _-662
6-761  _-755
0-266  _-266
39-744 _-705
255-154_101 
425-0  _425 
346-88 _258 
133-5  _128 
1-954  _-953
7-586  _-579
590-85 _505 
215-2  _213 
615-26 _589 
56-994 _-938
7-10   _-3  
641-74 _567 
445-93 _352 
72-623 _-551
37-8   _29  
443-21 _422 
460-99 _361 
1-32   _-31 
123-54 _69  
66-72  _-6  
0-599  _-599
2-930  _-928
381-573_-192
95-242 _-147
646-0  _646 
803-98 _705 
6-167  _-161
27-175 _-148
540-68 _472 
987-511_476 
610-5  _605 
935-75 _860 
8-539  _-531
609-37 _572 
249-82 _167 
80-56  _24  
40-0   _40  
57-575 _-518
2-123  _-121
52-796 _-744
75-351 _-276
641-65 _576 
34-881 _-847
75-66  _9   
9-962  _-953
4-479  _-475
26-1   _25  
997-0  _997 
22-7   _15  
835-807_28  
9-342  _-333
307-0  _307 
685-95 _590 
327-7  _320 
603-9  _594 
96-84  _12  
34-75  _-41 
20-238 _-218
458-754_-296
81-19  _62  
312-0  _312 
546-39 _507 
484-648_-164
17-94  _-77 
9-791  _-782
101-145_-44 
408-26 _382 
7-894  _-887
3-606  _-603
6-15   _-9  
895-57 _838 
524-2  _522 
29-211 _-182
7-970  _-963
0-495  _-495
956-92 _864 
9-60   _-51 
198-353_-155
7-749  _-742
68-358 _-290
456-14 _442 
1-886  _-885
68-94  _-26 
85-813 _-728
559-67 _492 
105-25 _80  
50-22  _28  
80-857 _-777
97-42  _55  
607-513_94  
7-546  _-539
29-73  _-44 
7-861  _-854
18-78  _-60 
1-999  _-998
765-868_-103
0-208  _-208
524-4  _520 
862-285_577 
827-583_244 
6-644  _-638
448-20 _428 
983-979_4   
767-1  _766 
551-5  _546 
87-17  _70  
90-29  _61  
397-69 _328 
11-38  _-27 
61-27  _34  
29-36  _-7  
701-510_191 
467-141_326 
597-37 _560 
8-918  _-910
521-36 _485 
451-5  _446 
91-955 _-864
63-744 _-681
3-588  _-585
630-55 _575 
49-29  _20  
921-81 _840 
95-483 _-388
4-140  _-136
967-2  _965 
109-24 _85  
681-357_324 
658-5  _653 
176-9  _167 
67-31  _36  
239-917_-678
45-68  _-23 
10-47  _-37 
686-92 _594 
914-1  _913 
7-848  _-841
56-39  _17  
568-966_-398
12-765 _-753
411-7  _404 
789-1  _788 
61-897 _-836
287-38 _249 
538-52 _486 
733-6  _727 
37-80  _-43 
728-0  _728 
571-595_-24 
97-961 _-864
896-4  _892 
743-668_75  
728-8  _720 
7-221  _-214
841-608_233 
681-7  _674 
9-718  _-709
11-90  _-79 
80-353 _-273
95-660 _-565
5-232  _-227
745-2  _743 
6-540  _-534
94-31  _63  
405-0  _405 
720-7  _713 
977-17 _960 
212-6  _206 
5-929  _-924
204-71 _133 
1-636  _-635
492-826_-334
21-3   _18  
342-578_-236
35-7   _28  
988-684_304 
473-79 _394 
603-12 _591 
20-5   _15  
548-5  _543 
0-867  _-867
86-5   _81  
396-330_66  
0-440  _-440
196-4  _192 
7-142  _-135
98-301 _-203
547-532_15  
764-239_525 
2-850  _-848
75-887 _-812
16-988 _-972
902-1  _901 
5-832  _-827
998-4  _994 
956-7  _949 
27-135 _-108
357-17 _340 
23-27  _-4  
723-903_-180
47-336 _-289
667-10 _657 
44-44  _0   
509-18 _491 
671-6  _665 
52-325 _-273
839-26 _813 
61-500 _-439
331-331_0   
19-487 _-468
887-340_547 
834-79 _755 
952-727_225 
81-843 _-762
43-672 _-629
9-77   _-68 
297-626_-329
132-154_-22 
992-82 _910 
96-82  _14  
89-50  _39  
342-127_215 
922-776_146 
8-887  _-879
68-55  _13  
99-83  _16  
875-7  _868 
351-48 _303 
782-90 _692 
27-89  _-62 
3-365  _-362
1-507  _-506
596-84 _512 
3-638  _-635
105-5  _100 
359-85 _274 
0-994  _-994
79-592 _-513
575-56 _519 
715-18 _697 
229-58 _171 
999-4  _995 
26-59  _-33 
93-6   _87  
0-144  _-144
41-38  _3   
9-744  _-735
764-379_385 
1-152  _-151
449-8  _441 
246-63 _183 
40-152 _-112
10-135 _-125
153-653_-500
295-720_-425
265-3  _262 
435-69 _366 
9-336  _-327
927-0  _927 
9-899  _-890
5-632  _-627
651-70 _581 
736-9  _727 
300-433_-133
43-66  _-23 
188-621_-433
17-12  _5   
30-7   _23  
74-905 _-831
40-293 _-253
0-675  _-675
10-89  _-79 
80-61  _19  
578-79 _499 
60-32  _28  
42-64  _-22 
63-90  _-27 
31-589 _-558
2-667  _-665
12-709 _-697
7-88   _-81 
3-870  _-867
477-891_-414
5-907  _-902
664-574_90  
696-930_-234
9-922  _-913
8-644  _-636
363-904_-541
869-51 _818 
789-790_-1  
34-1   _33  
68-33  _35  
442-797_-355
77-32  _45  
7-814  _-807
75-648 _-573
908-127_781 
38-469 _-431
90-885 _-795
972-21 _951 
54-986 _-932
8-934  _-926
964-27 _937 
210-78 _132 
737-2  _735 
856-43 _813 
578-73 _505 
6-896  _-890
6-262  _-256
8-266  _-258
741-65 _676 
6-138  _-132
6-184  _-178
512-1  _511 
352-8  _344 
39-479 _-440
802-306_496 
509-107_402 
25-64  _-39 
775-3  _772 
606-906_-300
9-822  _-813
4-835  _-831
25-17  _8   
90-40  _50  
839-2  _837 
977-3  _974 
18-629 _-611
4-714  _-710
6-207  _-201
2-87   _-85 
411-53 _358 
758-776_-18 
823-258_565 
754-641_113 
817-7  _810 
58-839 _-781
224-745_-521
817-97 _720 
179-397_-218
8-680  _-672
2-157  _-155
2-582  _-580
6-758  _-752
93-597 _-504
466-871_-405
22-343 _-321
716-3  _713 
53-515 _-462
466-1  _465 
58-80  _-22 
606-337_269 
476-9  _467 
61-32  _29  
89-72  _17  
998-3  _995 
13-53  _-40 
935-56 _879 
93-32  _61  
7-380  _-373
16-723 _-707
8-14   _-6  
40-16  _24  
679-516_163 
88-24  _64  
22-699 _-677
45-269 _-224
74-50  _24  
12-240 _-228
11-628 _-617
47-15  _32  
591-88 _503 
7-379  _-372
829-992_-163
73-736 _-663
658-1  _657 
512-89 _423 
9-863  _-854
13-155 _-142
97-86  _11  
9-521  _-512
587-63 _524 
5-515  _-510
668-0  _668 
6-742  _-736
3-945  _-942
688-808_-120
92-252 _-160
799-3  _796 
64-116 _-52 
20-147 _-127
443-195_248 
158-73 _85  
811-740_71  
8-796  _-788
259-18 _241 
891-267_624 
826-683_143 
722-81 _641 
29-92  _-63 
46-23  _23  
958-6  _952 
936-876_60  
19-6   _13  
32-58  _-26 
0-749  _-749
781-744_37  
48-60  _-12 
6-691  _-685
4-69   _-65 
88-26  _62  
276-90 _186 
70-954 _-884
753-527_226 
3-461  _-458
608-3  _605 
604-849_-245
283-804_-521
972-90 _882 
566-39 _527 
679-91 _588 
70-678 _-608
44-543 _-499
65-762 _-697
55-120 _-65 
8-521  _-513
172-3  _169 
660-118_542 
875-9  _866 
18-117 _-99 
67-76  _-9  
807-36 _771 
24-94  _-70 
585-636_-51 
772-5  _767 
35-60  _-25 
0-275  _-275
317-38 _279 
47-1   _46  
725-4  _721 
56-626 _-570
48-271 _-223
789-59 _730 
94-344 _-250
44-48  _-4  
75-60  _15  
829-1  _828 
93-48  _45  
334-69 _265 
974-23 _951 
78-810 _-732
438-384_54  
188-5  _183 
15-45  _-30 
934-74 _860 
91-669 _-578
113-484_-371
396-8  _388 
19-59  _-40 
605-603_2   
4-902  _-898
413-275_138 
440-3  _437 
691-720_-29 
51-93  _-42 
21-608 _-587
41-464 _-423
72-69  _3   
331-713_-382
103-6  _97  
2-855  _-853
22-805 _-783
81-63  _18  
822-57 _765 
957-72 _885 
528-703_-175
12-655 _-643
741-172_569 
470-97 _373 
531-3  _528 
5-83   _-78 
685-44 _641 
47-46  _1   
432-0  _432 
85-756 _-671
19-364 _-345
45-84  _-39 
6-391  _-385
275-3  _272 
548-79 _469 
187-6  _181 
1-97   _-96 
288-663_-375
83-636 _-553
761-4  _757 
4-565  _-561
66-592 _-526
661-3  _658 
498-13 _485 
84-90  _-6  
408-10 _398 
53-867 _-814
87-73  _14  
67-595 _-528
53-349 _-296
525-433_92  
7-67   _-60 
833-63 _770 
108-24 _84  
192-9  _183 
97-54  _43  
27-93  _-66 
40-220 _-180
741-21 _720 
7-719  _-712
714-66 _648 
63-76  _-13 
343-170_173 
2-574  _-572
605-2  _603 
15-61  _-46 
954-68 _886 
63-60  _3   
17-83  _-66 
228-38 _190 
4-135  _-131
68-20  _48  
3-246  _-243
44-5   _39  
92-712 _-620
590-76 _514 
339-52 _287 
95-315 _-220
817-20 _797 
61-687 _-626
591-51 _540 
519-99 _420 
844-54 _790 
289-6  _283 
855-66 _789 
587-88 _499 
87-14  _73  
624-146_478 
516-2  _514 
140-62 _78  
608-587_21  
873-530_343 
48-90  _-42 
427-873_-446
25-388 _-363
494-51 _443 
459-655_-196
3-982  _-979
432-87 _345 
89-415 _-326
629-1  _628 
2-208  _-206
321-502_-181
56-6   _50  
49-329 _-280
459-491_-32 
650-50 _600 
571-0  _571 
21-47  _-26 
8-358  _-350
81-10  _71  
76-3   _73  
94-730 _-636
81-49  _32  
5-563  _-558
83-36  _47  
753-74 _679 
56-93  _-37 
893-3  _890 
0-527  _-527
857-658_199 
47-966 _-919
159-970_-811
29-64  _-35 
246-292_-46 
3-859  _-856
758-4  _754 
408-636_-228
685-733_-48 
1-929  _-928
97-138 _-41 
172-576_-404
9-330  _-321
39-29  _10  
78-729 _-651
492-8  _484 
594-42 _552 
2-324  _-322
30-34  _-4  
57-91  _-34 
168-849_-681
15-171 _-156
158-485_-327
661-5  _656 
14-308 _-294
47-22  _25  
918-28 _890 
28-88  _-60 
35-65  _-30 
208-70 _138 
383-70 _313 
423-8  _415 
55-39  _16  
52-90  _-38 
2-920  _-918
5-103  _-98 
141-759_-618
98-89  _9   
781-89 _692 
96-59  _37  
588-863_-275
21-22  _-1  
14-293 _-279
442-564_-122
53-91  _-38 
631-26 _605 
12-595 _-583
24-228 _-204
73-86  _-13 
532-11 _521 
90-518 _-428
42-59  _-17 
3-210  _-207
47-425 _-378
87-52  _35  
202-1  _201 
22-20  _2   
25-666 _-641
38-794 _-756
33-82  _-49 
82-37  _45  
125-339_-214
512-9  _503 
87-762 _-675
172-8  _164 
212-724_-512
94-717 _-623
183-42 _141 
806-4  _802 
5-190  _-185
414-8  _406 
98-36  _62  
30-637 _-607
9-945  _-936
204-3  _201 
821-47 _774 
55-198 _-143
87-754 _-667
2-39   _-37 
828-17 _811 
513-9  _504 
473-14 _459 
53-57  _-4  
60-87  _-27 
644-857_-213
46-872 _-826
326-7  _319 
860-921_-61 
269-2  _267 
87-67  _20  
274-1  _273 
872-3  _869 
3-232  _-229
694-922_-228
4-398  _-394
32-328 _-296
35-549 _-514
81-69  _12  
4-887  _-883
99-679 _-580
567-22 _545 
64-171 _-107
750-6  _744 
575-2  _573 
867-551_316 
688-57 _631 
17-51  _-34 
763-655_108 
39-17  _22  
552-19 _533 
99-108 _-9  
17-793 _-776
711-3  _708 
313-854_-541
205-4  _201 
239-9  _230 
8-575  _-567
1-547  _-546
1-892  _-891
47-43  _4   
7-435  _-428
71-344 _-273
29-38  _-9  
27-50  _-23 
9-869  _-860
193-372_-179
407-3  _404 
307-203_104 
767-8  _759 
59-75  _-16 
640-811_-171
450-479_-29 
461-639_-178
38-87  _-49 
855-241_614 
6-903  _-897
57-483 _-426
77-876 _-799
2-867  _-865
20-89  _-69 
896-487_409 
960-25 _935 
7-332  _-325
55-15  _40  
471-594_-123
431-60 _371 
69-142 _-73 
79-83  _-4  
626-95 _531 
56-618 _-562
1-762  _-761
446-443_3   
22-109 _-87 
243-357_-114
43-553 _-510
77-636 _-559
80-21  _59  
333-133_200 
564-10 _554 
849-739_110 
768-46 _722 
55-412 _-357
70-39  _31  
1-523  _-522
9-886  _-877
407-9  _398 
51-190 _-139
91-13  _78  
22-431 _-409
8-730  _-722
92-662 _-570
698-51 _647 
724-326_398 
33-895 _-862
245-979_-734
98-584 _-486
586-749_-163
908-1  _907 
638-4  _634 
44-146 _-102
873-10 _863 
79-95  _-16 
602-6  _596 
9-304  _-295
621-9  _612 
8-948  _-940
43-41  _2   
75-43  _32  
604-2  _602 
497-1  _496 
739-66 _673 
68-438 _-370
942-2  _940 
105-392_-287
629-39 _590 
62-117 _-55 
347-89 _258 
287-61 _226 
961-244_717 
79-72  _7   
79-979 _-900
295-65 _230 
637-3  _634 
382-3  _379 
7-669  _-662
875-91 _784 
68-52  _16  
23-566 _-543
73-27  _46  
437-252_185 
588-746_-158
426-99 _327 
987-3  _984 
292-1  _291 
29-917 _-888
129-4  _125 
177-68 _109 
40-245 _-205
67-94  _-27 
73-67  _6   
63-36  _27  
7-923  _-916
39-84  _-45 
0-160  _-160
916-155_761 
6-983  _-977
4-169  _-165
7-200  _-193
872-1  _871 
593-90 _503 
277-966_-689
270-73 _197 
217-79 _138 
475-7  _468 
38-60  _-22 
510-971_-461
50-35  _15  
56-314 _-258
21-863 _-842
99-10  _89  
598-845_-247
35-755 _-720
83-268 _-185
136-883_-747
0-244  _-244
272-2  _270 
769-2  _767 
7-973  _-966
33-62  _-29 
8-337  _-329
20-56  _-36 
906-5  _901 
26-54  _-28 
67-454 _-387
469-298_171 
30-515 _-485
83-829 _-746
476-14 _462 
36-96  _-60 
51-85  _-34 
26-84  _-58 
51-920 _-869
117-8  _109 
26-150 _-124
728-973_-245
9-385  _-376
72-86  _-14 
68-67  _1   
60-682 _-622
48-82  _-34 
4-604  _-600
92-43  _49  
587-84 _503 
820-4  _816 
955-1  _954 
743-56 _687 
9-166  _-157
19-56  _-37 
3-538  _-535
318-51 _267 
40-10  _30  
68-886 _-818
3-468  _-465
271-1  _270 
369-273_96  
99-434 _-335
3-995  _-992
8-243  _-235
5-38   _-33 
976-7  _969 
0-983  _-983
23-534 _-511
482-18 _464 
973-843_130 
707-93 _614 
299-51 _248 
181-21 _160 
9-317  _-308
1-482  _-481
619-9  _610 
639-248_391 
508-1  _507 
37-87  _-50 
330-47 _283 
96-29  _67  
891-925_-34 
58-33  _25  
14-258 _-244
79-30  _49  
41-892 _-851
9-751  _-742
547-0  _547 
981-30 _951 
78-40  _38  
763-7  _756 
660-245_415 
967-89 _878 
93-128 _-35 
772-11 _761 
55-335 _-280
75-71  _4   
487-86 _401 
67-56  _11  
71-12  _59  
559-1  _558 
627-308_319 
703-468_235 
764-46 _718 
43-936 _-893
67-97  _-30 
840-354_486 
59-126 _-67 
599-832_-233
88-765 _-677
351-6  _345 
517-801_-284
3-108  _-105
122-716_-594
64-53  _11  
508-754_-246
263-931_-668
32-33  _-1  
347-36 _311 
27-743 _-716
792-5  _787 
705-30 _675 
23-182 _-159
27-394 _-367
94-848 _-754
30-805 _-775
624-88 _536 
844-832_12  
473-76 _397 
440-70 _370 
109-23 _86  
84-615 _-531
5-810  _-805
620-87 _533 
54-52  _2   
619-643_-24 
725-269_456 
15-777 _-762
10-33  _-23 
78-371 _-293
621-18 _603 
72-11  _61  
175-86 _89  
667-443_224 
70-81  _-11 
7-653  _-646
16-28  _-12 
4-483  _-479
86-21  _65  
839-73 _766 
806-18 _788 
407-0  _407 
55-14  _41  
348-20 _328 
891-91 _800 
444-61 _383 
67-234 _-167
713-34 _679 
822-7  _815 
374-79 _295 
75-406 _-331
428-924_-496
38-221 _-183
957-45 _912 
84-30  _54  
0-959  _-959
69-859 _-790
60-85  _-25 
704-638_66  
56-929 _-873
86-90  _-4  
5-192  _-187
96-888 _-792
20-874 _-854
447-29 _418 
802-35 _767 
303-435_-132
76-37  _39  
624-8  _616 
517-71 _446 
0-694  _-694
73-239 _-166
512-892_-380
482-296_186 
9-674  _-665
509-2  _507 
431-8  _423 
173-152_21  
230-905_-675
390-2  _388 
847-91 _756 
9-946  _-937
245-0  _245 
779-861_-82 
509-656_-147
200-760_-560
372-1  _371 
39-94  _-55 
607-65 _542 
61-290 _-229
4-268  _-264
515-27 _488 
8-96   _-88 
538-91 _447 
57-95  _-38 
46-921 _-875
55-94  _-39 
553-826_-273
493-35 _458 
751-64 _687 
40-935 _-895
53-10  _43  
564-0  _564 
33-157 _-124
62-71  _-9  
858-1  _857 
125-31 _94  
1-64   _-63 
904-796_108 
75-982 _-907
395-5  _390 
878-945_-67 
38-10  _28  
0-272  _-272
763-876_-113
3-958  _-955
31-42  _-11 
51-2   _49  
9-452  _-443
9-570  _-561
72-904 _-832
262-69 _193 
876-1  _875 
877-260_617 
304-413_-109
3-868  _-865
95-367 _-272
224-1  _223 
74-107 _-33 
709-59 _650 
41-20  _21  
7-291  _-284
4-119  _-115
76-78  _-2  
0-241  _-241
456-794_-338
988-97 _891 
5-653  _-648
226-271_-45 
43-921 _-878
58-692 _-634
432-409_23  
276-2  _274 
26-28  _-2  
317-36 _281 
848-177_671 
85-510 _-425
5-897  _-892
94-42  _52  
36-190 _-154
8-147  _-139
889-325_564 
15-40  _-25 
440-552_-112
57-158 _-101
8-200  _-192
908-6  _902 
590-36 _554 
9-171  _-162
95-71  _24  
65-220 _-155
81-705 _-624
768-411_357 
626-718_-92 
786-3  _783 
395-0  _395 
4-654  _-650
2-665  _-663
14-213 _-199
4-652  _-648
121-120_1   
854-953_-99 
788-64 _724 
867-607_260 
220-554_-334
149-8  _141 
20-107 _-87 
8-59   _-51 
99-576 _-477
42-406 _-364
38-435 _-397
400-182_218 
480-3  _477 
961-91 _870 
780-5  _775 
788-9  _779 
69-32  _37  
21-785 _-764
474-0  _474 
341-7  _334 
908-749_159 
492-605_-113
97-502 _-405
409-2  _407 
889-33 _856 
354-994_-640
9-883  _-874
86-111 _-25 
21-555 _-534
8-701  _-693
26-95  _-69 
979-3  _976 
0-559  _-559
964-508_456 
802-8  _794 
436-25 _411 
213-359_-146
41-33  _8   
57-76  _-19 
181-800_-619
12-30  _-18 
94-217 _-123
347-5  _342 
24-481 _-457
83-19  _64  
8-959  _-951
783-72 _711 
838-49 _789 
4-431  _-427
849-9  _840 
333-547_-214
35-81  _-46 
2-294  _-292
822-200_622 
7-624  _-617
78-580 _-502
430-80 _350 
630-43 _587 
52-96  _-44 
505-34 _471 
241-90 _151 
776-2  _774 
88-76  _12  
43-25  _18  
98-606 _-508
5-79   _-74 
712-609_103 
673-832_-159
297-5  _292 
991-53 _938 
6-603  _-597
564-914_-350
7-269  _-262
0-378  _-378
599-93 _506 
811-53 _758 
517-247_270 
806-956_-150
5-875  _-870
881-23 _858 
3-412  _-409
422-8  _414 
81-79  _2   
22-85  _-63 
13-80  _-67 
166-8  _158 
726-435_291 
9-433  _-424
16-674 _-658
21-978 _-957
767-28 _739 
59-876 _-817
230-58 _172 
315-4  _311 
915-63 _852 
907-2  _905 
3-809  _-806
974-988_-14 
716-148_568 
979-33 _946 
503-65 _438 
372-56 _316 
3-812  _-809
280-32 _248 
85-642 _-557
271-508_-237
609-18 _591 
5-625  _-620
19-48  _-29 
70-59  _11  
915-56 _859 
0-205  _-205
813-67 _746 
6-90   _-84 
484-497_-13 
933-7  _926 
80-81  _-1  
182-25 _157 
535-46 _489 
487-2  _485 
52-722 _-670
78-58  _20  
228-40 _188 
621-154_467 
93-586 _-493
251-404_-153
30-76  _-46 
688-64 _624 
643-9  _634 
673-5  _668 
359-38 _321 
33-53  _-20 
2-150  _-148
7-252  _-245
211-46 _165 
878-1  _877 
261-908_-647
79-864 _-785
98-985 _-887
442-26 _416 
491-10 _481 
154-286_-132
80-175 _-95 
835-940_-105
26-464 _-438
708-960_-252
22-953 _-931
580-2  _578 
22-679 _-657
233-4  _229 
50-471 _-421
994-825_169 
845-274_571 
19-614 _-595
714-24 _690 
747-0  _747 
2-843  _-841
391-569_-178
588-5  _583 
342-0  _342 
74-794 _-720
294-585_-291
34-353 _-319
56-68  _-12 
35-67  _-32 
61-485 _-424
11-56  _-45 
333-183_150 
104-66 _38  
816-55 _761 
18-279 _-261
735-28 _707 
899-468_431 
27-246 _-219
45-78  _-33 
442-73 _369 
567-5  _562 
673-996_-323
2-219  _-217
9-616  _-607
912-17 _895 
123-8  _115 
405-61 _344 
374-28 _346 
340-835_-495
28-95  _-67 
671-3  _668 
0-948  _-948
0-915  _-915
59-40  _19  
3-10   _-7  
98-580 _-482
722-2  _720 
352-7  _345 
597-39 _558 
588-52 _536 
155-168_-13 
7-100  _-93 
827-7  _820 
83-395 _-312
2-108  _-106
165-7  _158 
717-681_36  
34-56  _-22 
61-57  _4   
1-887  _-886
910-932_-22 
680-66 _614 
4-460  _-456
33-498 _-465
512-841_-329
88-58  _30  
84-478 _-394
68-473 _-405
97-53  _44  
613-57 _556 
308-41 _267 
430-74 _356 
8-555  _-547
712-279_433 
599-779_-180
91-90  _1   
626-17 _609 
0-653  _-653
777-80 _697 
16-10  _6   
66-602 _-536
7-387  _-380
298-9  _289 
818-3  _815 
900-207_693 
84-52  _32  
89-99  _-10 
780-8  _772 
959-23 _936 
0-229  _-229
465-30 _435 
4-860  _-856
287-1  _286 
406-8  _398 
5-528  _-523
20-436 _-416
6-370  _-364
44-31  _13  
310-89 _221 
958-10 _948 
715-94 _621 
1-935  _-934
223-99 _124 
12-518 _-506
22-10  _12  
557-657_-100
107-167_-60 
68-392 _-324
9-46   _-37 
16-921 _-905
8-612  _-604
0-113  _-113
677-636_41  
672-3  _669 
67-907 _-840
7-427  _-420
1-711  _-710
9-973  _-964
3-966  _-963
6-957  _-951
1-460  _-459
906-79 _827 
89-665 _-576
38-395 _-357
584-8  _576 
53-130 _-77 
559-19 _540 
8-68   _-60 
373-140_233 
61-154 _-93 
481-0  _481 
959-9  _950 
85-746 _-661
275-8  _267 
534-43 _491 
38-847 _-809
4-981  _-977
33-34  _-1  
534-53 _481 
945-881_64  
9-789  _-780
6-575  _-569
40-205 _-165
987-47 _940 
88-141 _-53 
80-823 _-743
789-896_-107
544-72 _472 
190-769_-579
98-441 _-343
966-496_470 
72-705 _-633
827-3  _824 
166-572_-406
800-9  _791 
900-765_135 
8-900  _-892
378-1  _377 
889-674_215 
248-55 _193 
94-28  _66  
535-715_-180
5-239  _-234
940-8  _932 
489-24 _465 
367-762_-395
52-803 _-751
7-217  _-210
962-22 _940 
364-529_-165
99-61  _38  
568-89 _479 
427-675_-248
612-9  _603 
969-866_103 
53-49  _4   
319-740_-421
51-67  _-16 
82-794 _-712
772-16 _756 
92-73  _19  
46-623 _-577
909-41 _868 
4-447  _-443
497-950_-453
92-20  _72  
6-954  _-948
28-126 _-98 
80-41  _39  
888-245_643 
826-2  _824 
559-68 _491 
521-196_325 
31-93  _-62 
477-15 _462 
571-11 _560 
448-79 _369 
77-523 _-446
206-727_-521
79-10  _69  
3-249  _-246
102-21 _81  
2-110  _-108
769-869_-100
706-1  _705 
317-146_171 
54-57  _-3  
22-51  _-29 
88-57  _31  
821-598_223 
4-178  _-174
53-38  _15  
10-97  _-87 
931-41 _890 
9-542  _-533
451-69 _382 
27-757 _-730
77-714 _-637
877-89 _788 
1-906  _-905
11-356 _-345
158-2  _156 
59-575 _-516
551-53 _498 
765-954_-189
53-27  _26  
522-44 _478 
43-644 _-601
61-19  _42  
980-7  _973 
522-19 _503 
447-44 _403 
316-7  _309 
96-367 _-271
554-824_-270
684-1  _683 
966-25 _941 
420-5  _415 
4-947  _-943
10-391 _-381
880-48 _832 
574-6  _568 
9-355  _-346
992-8  _984 
129-1  _128 
14-76  _-62 
674-421_253 
3-184  _-181
568-723_-155
57-122 _-65 
862-61 _801 
761-17 _744 
204-103_101 
38-678 _-640
100-72 _28  
53-779 _-726
8-354  _-346
5-538  _-533
58-44  _14  
95-41  _54  
46-60  _-14 
12-452 _-440
832-18 _814 
60-26  _34  
83-22  _61  
25-76  _-51 
885-34 _851 
127-743_-616
910-2  _908 
775-91 _684 
922-640_282 
955-829_126 
188-3  _185 
225-98 _127 
38-76  _-38 
26-76  _-50 
27-70  _-43 
62-848 _-786
191-9  _182 
25-83  _-58 
895-440_455 
60-557 _-497
465-71 _394 
39-275 _-236
570-819_-249
53-93  _-40 
758-87 _671 
32-94  _-62 
778-468_310 
590-75 _515 
858-354_504 
51-327 _-276
49-27  _22  
361-0  _361 
0-419  _-419
